Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
SP1,20/11/28,Real Madrid,Alaves,1,2,A,0,1,A,18,12,5,6,8,14,12,9,2,3,0,0
SP1,20/11/29,Barcelona,Osasuna,4,0,H,2,0,H,20,12,9,6,7,13,5,3,1,0,0,0
SP1,20/11/29,Getafe,Ath Bilbao,1,1,D,0,1,A,12,6,4,3,15,22,3,2,2,4,0,0
SP1,20/11/29,Celta,Granada,3,1,H,1,1,D,16,10,7,3,10,7,8,0,5,3,1,0
SP1,20/11/29,Sociedad,Villarreal,1,1,D,1,1,D,8,12,4,3,19,11,4,4,5,3,0,0
SP1,20/11/30,Betis,Eibar,0,2,A,0,0,D,8,9,4,5,13,14,6,2,2,1,0,0
SP1,20/12/04,Ath Bilbao,Celta,0,2,A,0,0,D,12,7,0,5,7,15,4,5,2,1,0,0
SP1,20/12/05,Levante,Getafe,3,0,H,2,0,H,12,10,8,0,12,13,5,5,2,6,0,2
SP1,20/12/05,Sevilla,Real Madrid,0,1,A,0,0,D,13,11,3,4,15,20,4,3,1,3,0,0
SP1,20/12/05,Ath Madrid,Valladolid,2,0,H,0,0,D,17,15,5,4,10,10,4,4,4,2,0,0
SP1,20/12/05,Cadiz,Barcelona,2,1,H,1,0,H,7,22,3,8,9,7,5,13,0,2,0,0
SP1,20/12/06,Granada,Huesca,3,3,D,1,1,D,15,18,6,9,12,16,4,2,2,0,0,0
SP1,20/12/06,Osasuna,Betis,0,2,A,0,0,D,11,13,0,6,17,14,2,5,3,2,0,0
SP1,20/12/06,Villarreal,Elche,0,0,D,0,0,D,14,5,5,0,16,14,4,0,3,2,0,0
SP1,20/12/06,Alaves,Sociedad,0,0,D,0,0,D,5,16,0,6,4,12,2,3,1,0,1,0
SP1,20/12/07,Eibar,Valencia,0,0,D,0,0,D,20,7,4,6,17,12,8,0,3,2,0,0
SP1,20/12/11,Valladolid,Osasuna,3,2,H,1,2,A,12,13,7,6,15,18,3,3,4,5,0,0
SP1,20/12/12,Valencia,Ath Bilbao,2,2,D,1,0,H,10,11,3,5,19,17,0,10,2,6,0,0
SP1,20/12/12,Getafe,Sevilla,0,1,A,0,0,D,7,10,3,2,14,14,5,3,2,3,0,0
SP1,20/12/12,Huesca,Alaves,1,0,H,0,0,D,12,4,4,2,14,20,5,2,1,4,0,0
SP1,20/12/12,Real Madrid,Ath Madrid,2,0,H,1,0,H,10,7,3,2,8,16,3,6,1,3,0,0
SP1,20/12/13,Sociedad,Eibar,1,1,D,1,0,H,10,16,5,5,14,13,5,4,4,3,0,0
SP1,20/12/13,Betis,Villarreal,1,1,D,0,1,A,12,12,6,3,15,14,4,8,2,3,0,0
SP1,20/12/13,Elche,Granada,0,1,A,0,1,A,10,13,2,5,16,15,6,5,4,2,0,0
SP1,20/12/13,Barcelona,Levante,1,0,H,0,0,D,23,8,12,4,5,14,12,4,2,1,0,0
SP1,20/12/14,Celta,Cadiz,4,0,H,4,0,H,8,11,5,0,18,5,1,5,2,1,0,0
SP1,20/12/15,Real Madrid,Ath Bilbao,3,1,H,1,0,H,17,9,5,3,8,8,6,6,1,2,0,1
SP1,20/12/16,Barcelona,Sociedad,2,1,H,2,1,H,11,10,6,5,20,14,2,3,3,3,0,0
SP1,20/12/18,Ath Bilbao,Huesca,2,0,H,0,0,D,11,9,4,3,7,15,5,5,0,2,0,1
SP1,20/12/19,Ath Madrid,Elche,3,1,H,1,0,H,12,9,7,4,13,14,2,4,1,2,0,0
SP1,20/12/19,Barcelona,Valencia,2,2,D,1,1,D,25,14,9,6,10,14,8,3,4,2,0,0
SP1,20/12/19,Levante,Sociedad,2,1,H,1,1,D,14,16,6,6,19,14,3,4,2,1,0,0
SP1,20/12/19,Osasuna,Villarreal,1,3,A,0,2,A,8,16,3,7,18,16,2,2,2,2,1,0
SP1,20/12/19,Sevilla,Valladolid,1,1,D,1,0,H,15,12,4,5,11,8,7,7,3,4,0,0
SP1,20/12/20,Celta,Alaves,2,0,H,1,0,H,12,9,5,3,18,12,3,5,2,2,0,0
