"doc_id","text"
"1130310473872621572","Tyrion played the smart game.
Daenerys played her own game. 
Jon Snow hated the game. 
Sansa played the long game. 
Arya thought the game was meaningless.
Bran has all the cheat codes to the game. 
Drogon: ""F*ck y'all game..."" 
#GameofThrones #GameOfThronesFinale https://t.co/dKKD27OfOA"
"1130310473696464896","EVERYBODY LET<U+2019>S SAY THANK YOU TO THE BEST CAST EVER. 

#GamefThrones #GameOfThronesFinale 
#TheFinalEpisode https://t.co/wGlNN3WW79"
"1130310473688199168","One of the most subtly profound moments in the episode and the whole season. Drogon is a good dragon, he gets it. The wheel is broken... sort of.
#TheFinalEpisode #GameOfThrones #GameOfThronesFinale https://t.co/90RjmLS9Dm"
"1130310473667076097","Everyone of us after bragging for years how good a series Game of Thrones is, and now having to explain this shitty finale to everyone who doesn<U+2019>t watch the show 
#GameofThronesFinale
 https://t.co/qGw8rmiRDj"
"1130310473663098880","sansa stark pas<U+00F3> de ser una chica malcriada, ingenua, maltratada y manipulable a una mujer fuerte, ingeniosa, inteligente, compasiva, gentil, lady de winterfell una l<U+00ED>der nata y justa. largo sea su reinado, queen of the north. #GameOfThronesFinale #GameOfThrones https://t.co/IAoM7KmITf"
"1130310473595932672","Resumen del ""gran"" final de #GameOfThronesFinale. 

- Lo <U+00FA>nico que conquist<U+00F3> Daenerys fue la decepci<U+00F3>n. 
- Drogon es el mejor hijo del mundo.
- Sansa the Queen Prom.
- Arya la mochilera.
- Jon y Ghost, BEST FRIENDS FOREVER.
- La democracia, el final feliz que nadie pidi<U+00F3>. https://t.co/BRPdpV4JX5"
"1130310473591791616","This cast &gt;&gt;&gt; EVERYTHING #GameofThronesFinale https://t.co/B5kNWJL7EO"
"1130310434479890433","Dany :Libertaram o povo de kings landing
O povo : #GameOfThronesFinale https://t.co/WA0YyQnm2K"
"1130310473549787136","A veces, Twitter es un lugar muy hermoso. #GameOfThronesFinale https://t.co/knajNWdiPB"
"1130310370155999233","Mi cara despu<U+00E9>s de ver el final de GOT #GameOfThronesFinale https://t.co/bIxPADsw9s"
"1130310388661260288","Comparte este Bran de la suerte para que no hagas nada todo el semestre y pases todas las materias con diez.
#GameofThronesFinale https://t.co/Inr8YLnL5o"
"1130310425667678211","<U+00A1>Drogon fue el m<U+00E1>s inteligente de todos porque entendi<U+00F3> que ese maldito trono siempre fue el verdadero problema!
#GameofThrones
#GameOfThronesFinale https://t.co/Z2BmdmakqV"
"1130310473428209665","Really just waiting on the spoilers and memes of all the #GameOfThronesFinale <U+0001F440> #demthrones"
"1130310473344266242","#GameOfThronesFinale  im<U+00E1>genes desde las oficinas de HBO https://t.co/ttuXtjrpeP"
"1130310473323167744","Disappointed #GameOfThronesFinale https://t.co/WzOT8tCTxr"
"1130310473268830208","Pra mim GOT morreu na 6<U+00AA> temporada, hoje <U+00E9> s<U+00F3> o enterro mesmo

#GameOfThronesFinale"
"1130310473197375489","""Love is more powerful than reason""
""Love is the death of duty""
#GameofThrones #GameofThronesFinale"
"1130310473033895937","Al final Jon Snow demostr<U+00F3> que si tenia huevos y coraz<U+00F3>n #GameOfThronesFinale #juegodetronos8x06 #GameOfThrones https://t.co/jk52IAhCU8"
"1130310473017102336","This shot.
#GameOfThronesFinale https://t.co/HhpCCvPrw3"
"1130310473016963073","A unica coisa boa foi o paralelo dos starks no final. 
O resto apaga e faz de novo.
#GameOfThronesFinale https://t.co/bd7IrmiO0y"
"1130310472908058625","me after final episode #GameOfThrones<U+00A0> #GameOfThronesFinale 
#GoTFinale https://t.co/nSdFeNzjU8"
"1130310472882892800","All makes sense now the Night King and is army were just trying to stop this shit ending from happening they were the good guys all along #GameOfThronesFinale https://t.co/xdPXVI859p"
"1130310472865992710","when you avoid spoilers of GoT for the whole 8 seasons of all the episodes and then at the very last moment your friend ruins the series finale, THE VERY LAST EPISODE, by disclosing the climax to you. SOMEONE IS HONESTLY GETTING CUT TODAY. #GameOfThronesFinale #GameofThrones"
"1130310472769650693","Ent<U+00E3>o...
Qual o #Lost da proxima d<U+00E9>cada!?
#TheFinalEpisode 
#GameofThrones 
#GameOfThronesFinale 
#FucktheThrone"
"1130310472664797184","Bran is that person in a group project who does NOTHING the entire time, but shows up on presentation day and gets all the credit. 

#GameOfThrones #GameOfThronesFinale https://t.co/ONYOr9r5jG"
"1130310472618708997","Homero a Daenerys y Cersei + un consejo bien seguido para Bran, que lleg<U+00F3> al trono haciendo absolutamente nada
#GameOfThronesFinale #GameOfThrones #GOTFinale #ForTheThrone https://t.co/4ewP1ODrbH"
"1130310472450887680","sansa stark pas<U+00F3> de ser una chica malcriada, ingenua, maltratada y manipulable a una mujer fuerte, ingeniosa, inteligente, compasiva, gentil, lady de winterfell una l<U+00ED>der nata y justa. largo sea su reinado, queen of the north. #GameOfThronesFinale #GameOfThrones https://t.co/IAoM7KmITf"
"1130310472434102277","who did you want on the throne after daenerys was killed? 

#gameofthrones #thefinalepisode #gameofthronesfinale"
"1130310472400605184","Me &amp; #GameOfThronesFinale https://t.co/v8o0u8hOBJ"
"1130310472304123905","De<U+011F>di mi o kap<U+0131>y<U+0131> tuttu<U+011F>una be reis #GameOfThronesFinale https://t.co/sbaXSHDVG5"
"1130310472224452608","#GameOfThronesFinale left us with Arya the Explorer, not sure how I feel about that. https://t.co/OkOpF3sVxb"
"1130310472132169728","#GameOfThronesFinale
Comparte este Bran Stark para aprobar los finales sin haber estudiado https://t.co/B7Yg8ou6Yb"
"1130310472098566149","When you don't contribute the group project and still get an A  #GameOfThronesFinale https://t.co/2S2ukr5dPU"
"1130310471947624448","What Brienne REALLY wrote 
#GameOfThrones #GameOfThronesFinale #TheFinalEpisode #DemThrones https://t.co/TJyqhlQnEX"
"1130310385557356545","Al final Jon Snow demostr<U+00F3> que si tenia huevos y coraz<U+00F3>n #GameOfThronesFinale #juegodetronos8x06 #GameOfThrones https://t.co/jk52IAhCU8"
"1130310471943221248","Spoiler alert: Arya Stark descubre Am<U+00E9>rica. Quien te conoce Crist<U+00F3>bal Col<U+00F3>n #GameOfThronesFinale https://t.co/6pebYwjCxY"
"1130310471922343936","#Drogon destruy<U+00F3> el #TronodeHierro porque sab<U+00ED>a que el fue quien mat<U+00F3> a #Daenerys . 

En el juego de tronos, tus convicciones son las que te matan. 

#GameOfThrones #got #GameOfThronesFinale #GOT https://t.co/lLUJOeEoR7"
"1130310471909879813","o amigo que viajou durante o processo do trabalho em grupo, chegou atrasado para apresenta<U+00E7><U+00E3>o e levou 10 #GameOfThronesFinale #GOT https://t.co/K5MW8eZUxB"
"1130310471909814272","Arya deu in<U+00ED>cio <U+00E0>s grandes navega<U+00E7><U+00F5>es <U+00E9> mais tarde descobriu a Am<U+00E9>rica 

Na verdade Arya era Crist<U+00F3>v<U+00E3>o Colombo

Esse eh o plot twist 

#GameOfThronesFinale"
"1130310471830134785","Voy a extra<U+00F1>ar esto #GameOfThronesFinale #GameOfThrones #TyrionLannister #GraciasGameofThrones https://t.co/EHBX0Kavgs"
"1130310471641440256","One of the most subtly profound moments in the episode and the whole season. Drogon is a good dragon, he gets it. The wheel is broken... sort of.
#TheFinalEpisode #GameOfThrones #GameOfThronesFinale https://t.co/90RjmLS9Dm"
"1130310471574274050","Do the Geneva Conventions apply in Westeros? 

For the #GameOfThronesFinale the @RedCrossAU analysed every violation of international humanitarian law.

Over 70 #GameOfThrones episodes, over 100 war crimes.

Let<U+2019>s go. https://t.co/VI9xAHd1hr"
"1130310471570120708","The pets we have all been waiting for!!!  #GameOfThronesFinale https://t.co/WfBRsQp8sf"
"1130310471561699328","Basically this moment was more important than the whole episode #GOTFinale #TheFinalEpisode #GameOfThronesFinale https://t.co/302lNutqPP"
"1130310471490441217","Me gust<U+00F3> mucho la escena en que Frodo se despide de la comunidad del anillo #GameOfThrones #GameOfThronesFinale https://t.co/VaGeOPGQw9"
"1130310471377129473","Now I wish night king had killed everybody.
#GameOfThronesFinale
#GameOfThrones<U+202F><U+202F><U+202F>#gameofthrones https://t.co/tv9TdryzW7"
"1130310471301697539","This will forever stay with me.

#GameOfThronesFinale
#GameOfThrones https://t.co/lE6XdsEz7o"
"1130310471196827655","Me... 45 mins after the finale
#GameOfThrones #GameOfThronesFinale https://t.co/9Le46xJWfb"
"1130310471112957953","Certamente Sansa teve o final mais digno de todos, chorei ao ver reencontro do Jon e Ghost, bem surpreendente que Arya virou desbravadora. Bran o rei mais sem gra<U+00E7>a de todos. Mas vejo ent<U+00E3>o que a s<U+00E9>rie foi sobre os Starks e Jon terminou como um. #GameOfThronesFinale"
"1130310332566654976","Bringing Jon back from the dead just to  banish him back to the wall, which is no longer even needed because the Night King is dead??? #GameOfThronesFinale https://t.co/OGZYT2sJMu"
"1130310470987112448","#GAMEOFTHRONES 
#GameOfThronesFinale 
Fuck this shit, I'm out https://t.co/LwhTUImw5f"
"1130310470882041856","All makes sense now the Night King and is army were just trying to stop this shit ending from happening they were the good guys all along #GameOfThronesFinale https://t.co/xdPXVI859p"
"1130310440251219973","Drogon tratando de despertar a Daenerys hizo que se me rompiera el coraz<U+00F3>n #GameOfThronesFinale https://t.co/KYjjHEC4im"
"1130310385247096833","Fuimos testigos de una de las mejores escenas de todos los tiempos
#GameofThrones #GameOfThronesFinale https://t.co/mhaAlISfy1"
"1130310470810963969","#GameOfThronesFinale

Gracias <U+0001F60A> a pesar del final https://t.co/GKsqpJswxV"
"1130310470756442112","#GameOfThronesFinale y videojuegos. La posta!! https://t.co/PvQJQMqEvT"
"1130310470664105986","Por los dioses antiguos y nuevos, gracias por estos 8 a<U+00F1>os #GameOfThrones<U+0001F981><U+0001F43A><U+0001F409><U+2694><U+FE0F>
#GameOfThronesFinale https://t.co/WtpRA2TS6a"
"1130310399872708609","ME DUELE, ME QUEMA, ME LASTIMA. #GameOfThronesFinale https://t.co/dH3EUWUnrw"
"1130310470655721477","La escena de Drogon quemando el trono porque <U+00E9>l sabe que fue eso lo que mat<U+00F3> a Daenerys y no Jon me parece una de las mejores de la serie #GameOfThronesFinale https://t.co/A2DYbaWBLV"
