Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
I1,20/12/20,Torino,Bologna,1,1,D,0,0,D,16,18,6,7,15,17,4,8,1,3,0,0
I1,20/12/20,Benevento,Genoa,2,0,H,0,0,D,13,9,4,3,9,23,6,5,1,3,0,0
I1,20/12/20,Cagliari,Udinese,1,1,D,1,0,H,13,15,4,5,14,13,5,7,2,1,0,0
I1,20/12/20,Inter,Spezia,2,1,H,0,0,D,15,8,6,2,10,9,3,2,1,2,0,0
I1,20/12/20,Sassuolo,Milan,1,2,A,0,2,A,18,12,6,6,12,12,6,4,1,3,0,0
I1,20/12/20,Atalanta,Roma,4,1,H,0,1,A,15,6,8,4,15,14,2,2,2,3,0,0
I1,20/12/20,Lazio,Napoli,2,0,H,1,0,H,10,15,3,6,12,8,4,9,4,3,0,0
I1,20/12/22,Crotone,Parma,2,1,H,2,0,H,11,15,7,7,18,22,3,6,4,6,0,0
I1,20/12/22,Juventus,Fiorentina,0,3,A,0,1,A,15,11,6,6,9,17,5,5,1,4,1,0
I1,20/12/23,Hellas Verona,Inter,1,2,A,0,0,D,8,19,3,6,16,19,2,8,4,2,0,0
I1,20/12/23,Bologna,Atalanta,2,2,D,0,2,A,10,15,5,8,11,14,1,5,2,2,0,0
I1,20/12/23,Milan,Lazio,3,2,H,2,1,H,14,14,6,7,8,13,4,6,2,4,0,0
I1,20/12/23,Napoli,Torino,1,1,D,0,0,D,18,11,8,4,19,15,4,3,3,3,0,0
I1,20/12/23,Roma,Cagliari,3,2,H,1,0,H,17,8,10,3,17,19,6,0,3,2,0,0
I1,20/12/23,Sampdoria,Sassuolo,2,3,A,0,1,A,27,16,8,9,10,12,14,6,2,4,1,0
I1,20/12/23,Spezia,Genoa,1,2,A,1,1,D,12,8,5,6,21,20,4,2,3,4,0,0
I1,20/12/23,Udinese,Benevento,0,2,A,0,1,A,16,10,4,5,17,9,7,1,1,2,0,0
I1,21/01/03,Inter,Crotone,6,2,H,2,2,D,16,10,8,4,9,7,3,3,0,3,0,0
I1,21/01/03,Atalanta,Sassuolo,5,1,H,2,0,H,26,10,9,5,13,9,8,3,3,1,0,0
I1,21/01/03,Cagliari,Napoli,1,4,A,0,1,A,10,32,2,9,11,7,3,8,3,1,1,0
I1,21/01/03,Fiorentina,Bologna,0,0,D,0,0,D,12,9,2,5,8,11,8,5,4,3,0,0
I1,21/01/03,Genoa,Lazio,1,1,D,0,1,A,11,17,4,5,11,18,4,9,2,4,0,0
I1,21/01/03,Parma,Torino,0,3,A,0,1,A,16,12,5,6,20,16,9,3,2,2,0,0
I1,21/01/03,Roma,Sampdoria,1,0,H,0,0,D,25,7,8,4,18,14,8,2,3,5,0,0
I1,21/01/03,Spezia,Hellas Verona,0,1,A,0,0,D,9,16,2,4,22,10,3,5,5,0,1,0
I1,21/01/03,Benevento,Milan,0,2,A,0,1,A,24,12,6,3,8,13,12,4,1,3,0,1
I1,21/01/03,Juventus,Udinese,4,1,H,1,0,H,20,12,9,4,14,8,7,1,3,0,0,0
I1,21/01/06,Cagliari,Benevento,1,2,A,1,2,A,13,10,6,4,17,12,7,6,4,3,1,0
I1,21/01/06,Atalanta,Parma,3,0,H,1,0,H,19,4,7,2,10,6,12,3,1,1,0,0
I1,21/01/06,Bologna,Udinese,2,2,D,2,1,H,11,20,7,9,17,14,4,6,3,3,1,0
I1,21/01/06,Crotone,Roma,1,3,A,0,3,A,15,16,5,6,15,18,3,4,2,3,0,0
I1,21/01/06,Lazio,Fiorentina,2,1,H,1,0,H,12,9,4,6,11,11,2,9,3,1,0,0
I1,21/01/06,Sampdoria,Inter,2,1,H,2,0,H,12,24,4,7,12,18,4,10,3,4,0,0
I1,21/01/06,Sassuolo,Genoa,2,1,H,0,0,D,14,8,5,3,14,10,8,2,3,3,0,0
I1,21/01/06,Torino,Hellas Verona,1,1,D,0,0,D,20,9,4,3,13,17,9,3,1,3,0,0
I1,21/01/06,Napoli,Spezia,1,2,A,0,0,D,29,10,9,4,9,16,10,2,2,4,0,1
I1,21/01/06,Milan,Juventus,1,3,A,1,1,D,22,17,10,9,17,12,7,4,1,2,0,0
I1,21/01/09,Benevento,Atalanta,1,4,A,0,1,A,5,29,3,12,13,20,1,11,3,2,0,0
I1,21/01/09,Genoa,Bologna,2,0,H,1,0,H,10,15,7,5,11,9,1,4,2,0,0,0
I1,21/01/09,Milan,Torino,2,0,H,2,0,H,9,6,5,3,20,14,7,5,6,2,0,0
I1,21/01/10,Roma,Inter,2,2,D,1,0,H,17,18,9,7,18,11,3,7,3,3,0,0
I1,21/01/10,Parma,Lazio,0,2,A,0,0,D,14,22,4,6,11,8,5,6,4,1,0,0
I1,21/01/10,Udinese,Napoli,1,2,A,1,1,D,18,18,9,7,19,6,2,7,3,1,0,0
I1,21/01/10,Hellas Verona,Crotone,2,1,H,2,0,H,14,10,7,4,16,16,6,4,3,3,0,0
I1,21/01/10,Fiorentina,Cagliari,1,0,H,0,0,D,15,9,5,2,15,14,9,5,1,3,0,0
I1,21/01/10,Juventus,Sassuolo,3,1,H,0,0,D,22,12,7,4,11,3,6,3,4,1,0,1
I1,21/01/11,Spezia,Sampdoria,2,1,H,1,1,D,10,7,5,4,17,13,4,2,4,3,0,0
I1,21/01/15,Lazio,Roma,3,0,H,2,0,H,10,10,10,3,12,19,1,7,5,4,0,0
I1,21/01/16,Bologna,Hellas Verona,1,0,H,1,0,H,19,10,4,3,14,11,7,3,2,1,0,0
I1,21/01/16,Torino,Spezia,0,0,D,0,0,D,12,7,2,4,12,12,6,2,3,4,0,1
I1,21/01/16,Sampdoria,Udinese,2,1,H,0,0,D,15,16,7,6,8,10,11,5,1,1,0,0
I1,21/01/17,Napoli,Fiorentina,6,0,H,4,0,H,11,14,8,3,11,15,1,4,1,0,0,0
I1,21/01/17,Crotone,Benevento,4,1,H,2,0,H,9,19,4,3,15,14,4,13,1,3,0,1
I1,21/01/17,Sassuolo,Parma,1,1,D,0,1,A,18,12,6,3,18,10,5,2,3,2,0,0
I1,21/01/17,Atalanta,Genoa,0,0,D,0,0,D,19,6,4,4,14,13,9,1,1,2,0,0
I1,21/01/17,Inter,Juventus,2,0,H,1,0,H,12,6,7,5,9,14,3,4,2,2,0,0
I1,21/01/18,Cagliari,Milan,0,2,A,0,1,A,18,11,3,7,7,12,7,4,2,2,0,1
I1,21/01/20,Udinese,Atalanta,1,1,D,1,1,D,8,20,2,6,22,26,2,7,3,2,0,0
