Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
D1,20/01/31,Hertha,Schalke 04,0,0,D,0,0,D,10,14,0,4,9,9,3,7,1,1,0,0
D1,20/02/01,Dortmund,Union Berlin,5,0,H,2,0,H,14,7,8,2,7,8,5,3,0,1,0,0
D1,20/02/01,Hoffenheim,Leverkusen,2,1,H,1,1,D,14,21,7,9,9,11,4,10,3,2,0,1
D1,20/02/01,Fortuna Dusseldorf,Ein Frankfurt,1,1,D,0,0,D,9,7,2,4,8,11,4,4,2,1,0,0
D1,20/02/01,Mainz,Bayern Munich,1,3,A,1,3,A,12,13,6,6,13,11,6,4,3,1,0,0
D1,20/02/01,Augsburg,Werder Bremen,2,1,H,0,1,A,17,7,6,0,10,22,5,3,2,5,0,0
D1,20/02/01,RB Leipzig,M'gladbach,2,2,D,0,2,A,22,8,12,5,12,14,4,4,1,4,0,1
D1,20/02/02,FC Koln,Freiburg,4,0,H,1,0,H,23,10,8,3,13,11,10,6,3,1,0,0
D1,20/02/02,Paderborn,Wolfsburg,2,4,A,1,2,A,10,10,8,6,14,17,3,7,3,3,1,0
D1,20/02/07,Ein Frankfurt,Augsburg,5,0,H,1,0,H,18,9,13,5,7,5,1,4,1,0,0,0
D1,20/02/08,Wolfsburg,Fortuna Dusseldorf,1,1,D,0,1,A,11,12,6,2,0,1,3,5,0,1,1,0
D1,20/02/08,Werder Bremen,Union Berlin,0,2,A,0,0,D,15,10,4,5,11,19,5,5,4,3,0,0
D1,20/02/08,Hertha,Mainz,1,3,A,0,1,A,14,14,3,5,12,16,10,1,3,1,1,0
D1,20/02/08,Freiburg,Hoffenheim,1,0,H,1,0,H,14,24,7,7,10,13,5,10,3,3,0,0
D1,20/02/08,Schalke 04,Paderborn,1,1,D,0,0,D,15,14,4,4,6,7,11,10,2,3,0,0
D1,20/02/08,Leverkusen,Dortmund,4,3,H,2,2,D,10,12,7,7,9,11,3,7,2,1,0,0
D1,20/02/09,Bayern Munich,RB Leipzig,0,0,D,0,0,D,13,10,4,0,8,15,11,3,2,2,0,0
D1,20/02/14,Dortmund,Ein Frankfurt,4,0,H,1,0,H,19,3,9,0,8,4,5,0,0,1,0,0
D1,20/02/15,RB Leipzig,Werder Bremen,3,0,H,2,0,H,12,10,5,3,10,12,8,1,1,1,0,0
D1,20/02/15,Hoffenheim,Wolfsburg,2,3,A,1,1,D,15,15,7,6,7,12,4,4,2,2,0,0
D1,20/02/15,Augsburg,Freiburg,1,1,D,1,0,H,9,21,4,7,22,5,0,3,4,1,0,0
D1,20/02/15,Paderborn,Hertha,1,2,A,0,1,A,20,14,5,3,16,12,5,8,2,2,0,0
D1,20/02/15,Union Berlin,Leverkusen,2,3,A,1,1,D,23,16,8,6,9,15,6,4,2,2,0,0
D1,20/02/15,Fortuna Dusseldorf,M'gladbach,1,4,A,1,1,D,11,20,5,8,11,11,2,5,2,2,0,0
D1,20/02/16,FC Koln,Bayern Munich,1,4,A,0,3,A,13,28,7,10,12,10,1,6,1,3,0,0
D1,20/02/16,Mainz,Schalke 04,0,0,D,0,0,D,16,9,6,4,9,12,3,6,2,2,0,0
D1,20/02/21,Bayern Munich,Paderborn,3,2,H,1,1,D,19,6,10,4,5,9,11,1,1,3,0,0
D1,20/02/22,M'gladbach,Hoffenheim,1,1,D,1,0,H,18,23,10,7,11,11,8,8,4,4,0,0
D1,20/02/22,Werder Bremen,Dortmund,0,2,A,0,0,D,11,14,3,8,11,9,2,6,0,0,0,0
D1,20/02/22,Hertha,FC Koln,0,5,A,0,3,A,10,18,3,11,11,8,5,3,2,2,0,0
D1,20/02/22,Freiburg,Fortuna Dusseldorf,0,2,A,0,1,A,19,10,6,5,14,11,7,4,1,4,0,0
D1,20/02/22,Schalke 04,RB Leipzig,0,5,A,0,1,A,6,25,4,9,10,7,2,5,2,3,0,0
D1,20/02/23,Leverkusen,Augsburg,2,0,H,1,0,H,12,10,7,4,10,13,2,3,2,4,0,0
D1,20/02/23,Wolfsburg,Mainz,4,0,H,2,0,H,18,19,8,5,11,12,4,14,0,2,0,0
D1,20/02/24,Ein Frankfurt,Union Berlin,1,2,A,0,0,D,21,12,3,7,10,13,14,6,3,4,0,0
D1,20/02/28,Fortuna Dusseldorf,Hertha,3,3,D,3,0,H,16,15,6,7,10,11,3,5,2,2,0,0
D1,20/02/29,Dortmund,Freiburg,1,0,H,1,0,H,17,16,3,4,5,9,6,4,1,0,0,0
D1,20/02/29,Hoffenheim,Bayern Munich,0,6,A,0,4,A,5,25,2,12,2,5,1,7,0,0,0,0
D1,20/02/29,Mainz,Paderborn,2,0,H,2,0,H,10,11,4,6,8,16,5,8,1,3,0,0
D1,20/02/29,Augsburg,M'gladbach,2,3,A,0,0,D,10,16,5,8,11,5,5,3,3,2,0,0
D1,20/02/29,FC Koln,Schalke 04,3,0,H,2,0,H,13,9,7,2,9,9,4,2,1,2,0,0
D1,20/03/01,Union Berlin,Wolfsburg,2,2,D,1,0,H,6,12,3,4,11,14,1,6,1,2,0,0
D1,20/03/01,RB Leipzig,Leverkusen,1,1,D,1,1,D,11,16,3,7,3,14,8,5,0,3,0,0
D1,20/03/06,Paderborn,FC Koln,1,2,A,0,2,A,20,15,3,4,11,16,5,9,3,4,0,0
D1,20/03/07,Leverkusen,Ein Frankfurt,4,0,H,2,0,H,13,10,6,5,11,11,1,3,1,0,0,0
D1,20/03/07,Wolfsburg,RB Leipzig,0,0,D,0,0,D,15,10,5,4,14,15,4,4,2,3,0,0
D1,20/03/07,Hertha,Werder Bremen,2,2,D,1,2,A,14,6,7,4,19,7,3,1,3,3,0,0
D1,20/03/07,Freiburg,Union Berlin,3,1,H,1,0,H,11,15,4,5,6,20,7,2,2,2,0,1
D1,20/03/07,Schalke 04,Hoffenheim,1,1,D,1,0,H,15,5,6,2,8,13,4,5,0,1,0,0
D1,20/03/07,M'gladbach,Dortmund,1,2,A,0,1,A,12,11,4,5,10,11,3,3,5,5,0,0
D1,20/03/08,Bayern Munich,Augsburg,2,0,H,0,0,D,18,8,6,4,4,7,9,4,1,0,0,0
D1,20/03/08,Mainz,Fortuna Dusseldorf,1,1,D,0,0,D,4,21,2,6,19,11,1,8,2,1,1,0
D1,20/03/11,M'gladbach,FC Koln,2,1,H,1,0,H,14,17,6,5,13,15,6,3,1,2,0,0
D1,20/05/16,Dortmund,Schalke 04,4,0,H,2,0,H,12,11,5,4,5,8,4,2,2,2,0,0
D1,20/05/16,RB Leipzig,Freiburg,1,1,D,0,1,A,18,6,9,2,11,8,8,4,0,1,0,0
D1,20/05/16,Hoffenheim,Hertha,0,3,A,0,0,D,19,13,4,7,9,17,7,5,2,3,0,0
D1,20/05/16,Fortuna Dusseldorf,Paderborn,0,0,D,0,0,D,11,6,2,2,14,17,2,0,2,2,0,0
